50|0.000000000000000|49
100|0.000000000000000|99
500|0.000000000000000|499
1000|0.000000000000000|999
5000|0.000000000000000|4999
10000|0.000000000000000|9999
50000|0.001002000000000|49999
100000|0.001002000000000|99999
500000|0.011997000000000|499999
1000000|0.027000000000000|999999
5000000|0.049001000000000|4999999
1000000|0.026000000000000|999999
500|0.000000000000000|499
500|0.001002000000000|499
50|0.000000000000000|49
100|0.000000000000000|99
500|0.000000000000000|499
1000|0.000000000000000|999
5000|0.000000000000000|4999
10000|0.000000000000000|9999
50000|0.001000000000000|49999
100000|0.001003000000000|99999
500000|0.012000000000000|499999
1000000|0.027004000000000|999999
500000|0.012001000000000|499999
5000000|0.052001000000000|4999999
10000000|0.075002000000000|9999999
5000|0.001000000000000|4999
